#iteration sample
-1 0.624798
-1 0.675715
-1 0.507515
-1 0.302185
-1 0.247967
-1 0.360021
-1 0.231834
-1 0.632955
-1 0.947186
-1 0.467747
0 0.499907
1 0.499955
2 0.499968
3 0.499975
4 0.49998
5 0.499983
6 0.499986
7 0.499988
8 0.499989
9 0.499991
10 0.499992
11 0.499993
12 0.499994
13 0.499995
14 0.499995
15 0.499996
16 0.499996
17 0.499997
18 0.499998
19 0.499998
20 0.499999
21 0.499999
22 0.499999
23 0.5
24 0.5
25 0.5
26 0.500001
27 0.500001
28 0.500001
29 0.500002
30 0.500002
31 0.500002
32 0.500002
33 0.500002
34 0.500002
35 0.500003
36 0.500003
37 0.500003
38 0.500003
39 0.500003
